run_id,case_id,domain,pathway,uses_ai,dimension_id,dimension_label,framework_id,coverage,evidence_count,source_passage_count,related_passage_count,seeded_omission,nonmissing_has_provenance,coverage_reason
technical-3297298c775d,HCI-01,academic_hci,human_subjects,False,respect,Respect for persons,belmont,missing,0,0,2,True,True,"Relevant material was submitted, but it does not yet state the concepts required by this framework question."
technical-3297298c775d,HCI-01,academic_hci,human_subjects,False,beneficence,Beneficence,belmont,documented,1,1,1,False,True,Found 4 relevant concepts across 1 submitted material type(s).
technical-3297298c775d,HCI-01,academic_hci,human_subjects,False,justice,Justice,belmont,partial,1,1,1,False,True,"Found some relevant evidence (compensation, invite), but the framework question is not fully documented."
technical-3297298c775d,HCI-01,academic_hci,human_subjects,False,value_tensions,Stakeholders and value tensions,vsd,partial,1,1,2,False,True,"Found some relevant evidence (participant), but the framework question is not fully documented."
technical-3297298c775d,HCI-01,academic_hci,human_subjects,False,societal_review,Societal risks and mitigation,esr,partial,1,1,2,False,True,"Found some relevant evidence (public), but the framework question is not fully documented."
technical-3297298c775d,HCI-02,academic_hci,ict_research,False,respect,Respect for persons,belmont,partial,1,1,2,False,True,"Found some relevant evidence (withdraw, agree), but the framework question is not fully documented."
technical-3297298c775d,HCI-02,academic_hci,ict_research,False,beneficence,Beneficence,belmont,partial,1,1,0,False,True,"Found some relevant evidence (harm, support, pause), but the framework question is not fully documented."
technical-3297298c775d,HCI-02,academic_hci,ict_research,False,justice,Justice,belmont,partial,1,1,0,False,True,"Found some relevant evidence (access, fair, invite), but the framework question is not fully documented."
technical-3297298c775d,HCI-02,academic_hci,ict_research,False,law_public_interest,Law and public interest,menlo,missing,0,0,2,True,True,"Relevant material was submitted, but it does not yet state the concepts required by this framework question."
technical-3297298c775d,HCI-02,academic_hci,ict_research,False,value_tensions,Stakeholders and value tensions,vsd,partial,1,1,2,False,True,"Found some relevant evidence (participant), but the framework question is not fully documented."
technical-3297298c775d,HCI-02,academic_hci,ict_research,False,societal_review,Societal risks and mitigation,esr,missing,0,0,2,False,True,"Relevant material was submitted, but it does not yet state the concepts required by this framework question."
technical-3297298c775d,HCI-03,academic_hci,ai_research,True,respect,Respect for persons,belmont,partial,1,1,2,False,True,"Found some relevant evidence (decline, understand, agree), but the framework question is not fully documented."
technical-3297298c775d,HCI-03,academic_hci,ai_research,True,beneficence,Beneficence,belmont,partial,1,1,1,False,True,"Found some relevant evidence (support, referral), but the framework question is not fully documented."
technical-3297298c775d,HCI-03,academic_hci,ai_research,True,justice,Justice,belmont,partial,1,1,1,False,True,"Found some relevant evidence (inclusion, access, invite), but the framework question is not fully documented."
technical-3297298c775d,HCI-03,academic_hci,ai_research,True,law_public_interest,Law and public interest,menlo,missing,0,0,2,False,True,"Relevant material was submitted, but it does not yet state the concepts required by this framework question."
technical-3297298c775d,HCI-03,academic_hci,ai_research,True,ai_govern,AI role and decision authority,ai_irb_questions,missing,0,0,3,False,True,"Relevant material was submitted, but it does not yet state the concepts required by this framework question."
technical-3297298c775d,HCI-03,academic_hci,ai_research,True,ai_map,"AI data, population, and disclosure",ai_irb_questions,partial,1,1,2,False,True,"Found some relevant evidence (bias, model), but the framework question is not fully documented."
